module,status,migrated_on,notes
:feature:orchestrator,legacy,,
:feature:client-api,legacy,,
:feature:login-check,legacy,,
:feature:login,legacy,,
:feature:fetch-subject,legacy,,
:feature:select-subject,legacy,,
:feature:enrol-last-biometric,legacy,,
:feature:external-credential,legacy,,
:feature:dashboard,legacy,,
:feature:troubleshooting,legacy,,
:feature:alert,legacy,,
:feature:exit-form,legacy,,
:feature:consent,legacy,,
:feature:setup,legacy,,
:feature:matcher,legacy,,
:feature:validate-subject-pool,legacy,,
:feature:select-subject-age-group,legacy,,
:feature:storage-alert,legacy,,
